Neurosis,Through Silver in Blood,1996,https://open.spotify.com/album/6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/neurosis-through-silver-in-blood-1996-w487071,https://en.wikipedia.org/wiki/Through_Silver_in_Blood,70:37:00,70,37
Slipknot,Iowa,2001,https://open.spotify.com/album/6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slipknot-iowa-2001-w487125,https://en.wikipedia.org/wiki/Iowa_(album),66:25:00,66,25
Carcass,Heartwork,1993,https://open.spotify.com/album/7D1UMHzEIHNhwa0gyqmya9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/carcass-heartwork-1993-w486961,https://en.wikipedia.org/wiki/Heartwork,41:52:00,41,52
Def Leppard,Pyromania,1983,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/def-leppard-pyromania-1983-w486971,https://en.wikipedia.org/wiki/Pyromania_(album),44:57:00,44,57
Type O Negative,Bloddy Kisses,1993,https://open.spotify.com/album/127mCJhPsHAB33rOYybK04,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/type-o-negative-bloody-kisses-1993-w487132,https://en.wikipedia.org/wiki/Bloody_Kisses,73:33:00,73,33
Helmet,Meantime,1992,https://open.spotify.com/album/0U7asaf4jS8EORTjHEWNcJ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/helmet-meantime-1992-w486996,https://en.wikipedia.org/wiki/Meantime_(album),36:56:00,36,56
Opeth,Blackwater Park,2001,https://open.spotify.com/album/3CCkWrqhWcKU7qXK3ooEEo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/opeth-blackwater-park-2001-w487074,https://en.wikipedia.org/wiki/Blackwater_Park,67:01:00,67,1
The Dillinger Escape Plan,Calculating Infinity,1999,https://open.spotify.com/album/0lUmhvC9JtPpU8LEYHVdyS,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/the-dillinger-escape-plan-calculating-infinity-1999-w486974,https://en.wikipedia.org/wiki/Calculating_Infinity,37:31:00,37,31
Emperor,Anthems to the Welkin at Dusk,1997,https://open.spotify.com/album/0PIidVsFr9Oji1Y79jTV9M,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/emperor-anthems-to-the-welkin-at-dusk-1997-w486979,https://en.wikipedia.org/wiki/Anthems_to_the_Welkin_at_Dusk,43:57:00,43,57
Life of Agony,River Runs Red,1993,https://open.spotify.com/album/3TLpF63KEFZfoy1iIJagzP,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/life-of-agony-river-runs-red-1993-w487025,https://en.wikipedia.org/wiki/River_Runs_Red,50:21:00,50,21
Napalm Death,From Enslavement to Obliteration,1988,https://open.spotify.com/album/4veFj7IvUM9q3Z0S0A4y0F,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/napalm-death-from-enslavement-to-obliteration-1988-w487069,https://en.wikipedia.org/wiki/From_Enslavement_to_Obliteration,29:45:00,29,45
Melvins,Bullhead,1991,https://open.spotify.com/album/3hAEZH07Rme4RfmSbd7KMC,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/melvins-bullhead-1991-w487038,https://en.wikipedia.org/wiki/Bullhead_(album),34:54:00,34,54
Converge,Jane Doe,2001,https://open.spotify.com/album/2gtM4m6sglJDrX3toJWZO6,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/converge-jane-doe-2001-w486965,https://en.wikipedia.org/wiki/Jane_Doe_(album),45:22:00,45,22
Sleep,Jerusalem,1999,https://open.spotify.com/album/5DwHEOrCwvTNwG6H3wNaiU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sleep-jerusalem-1999-w487122,https://en.wikipedia.org/wiki/Jerusalem_and_Dopesmoker,52:07:00,52,7
Sodom,Agent Orange,1989,https://open.spotify.com/album/711uqE9rCwxC8iOeAHOL8Z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sodom-agent-orange-1989-w487126,https://en.wikipedia.org/wiki/Agent_Orange_(album),40:15:00,40,15
Godflesh,Streetcleaner,1989,https://open.spotify.com/album/5fRIh0Yk4eFLst6Nj7RUDF,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/godflesh-streetcleaner-1989-w486990,https://en.wikipedia.org/wiki/Streetcleaner_(album),66:26:00,66,26
Faith No More,Angel Dust,1992,https://open.spotify.com/album/59GwovfBk0Kp2HJw1G7E5Q,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/faith-no-more-angel-dust-1992-w486989,https://en.wikipedia.org/wiki/Angel_Dust_(Faith_No_More_album),61:50:00,61,50
Deftones,White Pony,2000,https://open.spotify.com/album/5LEXck3kfixFaA3CqVE7bC,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/deftones-white-pony-2000-w486972,https://en.wikipedia.org/wiki/White_Pony,45:16:00,45,16
Queensryche,Operation: Mindcrime,1988,https://open.spotify.com/album/16VzTNaeadMjxI03Xi9s6n,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/queensrche-operation-mindcrime-1988-w487108,https://en.wikipedia.org/wiki/Operation:_Mindcrime,59:30:00,59,30
Marilyn Manson,Portrait of an American Family,1994,https://open.spotify.com/album/1SmsWlQZojAXz5H0i26bRl,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/marilyn-manson-portrait-of-an-american-family-1994-w487028,https://en.wikipedia.org/wiki/Portrait_of_an_American_Family,61:04:00,61,4
Soundgarden,Louder than Love,1989,https://open.spotify.com/album/4Q1HXCFg84PfQRZlPCA4SH,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/soundgarden-louder-than-love-1989-w487127,https://en.wikipedia.org/wiki/Louder_Than_Love,53:08:00,53,8
Death,Human,1991,https://open.spotify.com/album/6AvvqTkgRqq3L4bD9qYfjD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/death-human-1991-w486969,https://en.wikipedia.org/wiki/Human_(Death_album),38:29:00,38,29
Living Colour,Vivid,1988,https://open.spotify.com/album/532IlegHv3OfVGgyCFGBTs,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/living-colour-vivid-1988-w487026,https://en.wikipedia.org/wiki/Vivid_(Living_Colour_album),46:57:00,46,57
Isis,Oceanic,2002,https://open.spotify.com/album/7Enr3hOfLpLa8PdcBtoXmW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/isis-oceanic-2002-w487006,https://en.wikipedia.org/wiki/Oceanic_(Isis_album),63:18:00,63,18
Scorpions,Blackout,1982,https://open.spotify.com/album/6x75r5C54z1quun86Bbqbr,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/scorpions-blackout-1982-w487116,https://en.wikipedia.org/wiki/Blackout_(Scorpions_album),36:41:00,36,41
Venom,Welcome to Hell,1981,https://open.spotify.com/album/5oxowPycWCoLyE5nf0ZGmX,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/venom-welcome-to-hell-1981-w487134,https://en.wikipedia.org/wiki/Welcome_to_Hell,39:28:00,39,28
Morbid Angel,Covenant,1993,https://open.spotify.com/album/3dl4rU3ZBtiquwHEenf4qt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/morbid-angel-covenant-1993-w487062,https://en.wikipedia.org/wiki/Covenant_(Morbid_Angel_album),41:10:00,41,10
Twisted Sister,Stay Hungry,1984,https://open.spotify.com/album/0dzqapIToiOhULGvzDKpXm,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/twisted-sister-stay-hungry-1984-w486970,https://en.wikipedia.org/wiki/Stay_Hungry_(album),36:56:00,36,56
Meshuggah,Destroy Erase Improve,1995,https://open.spotify.com/album/3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/meshuggah-destroy-erase-improve-1995-w487046,https://en.wikipedia.org/wiki/Destroy_Erase_Improve,34:15:00,34,15
Voivod,Dimension Hatross,1988,https://open.spotify.com/album/3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/voivod-dimension-hatrss-1988-w487135,https://en.wikipedia.org/wiki/Dimension_Hatr%C3%B6ss,41:39:00,41,39
At the Gates,Slaughter of the Soul,1995,https://open.spotify.com/album/1m0px7K5tJndjxU6RIuL8U,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/at-the-gates-slaughter-of-the-soul-1995-w486947,https://en.wikipedia.org/wiki/Slaughter_of_the_Soul,52:06:00,52,6
Ministry,Psalm 69: The Way to Succeed and the Way to Suck Eggs,1992,https://open.spotify.com/album/2wz3P1w89gQd3iXdmF1IA5,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ministry-psalm-69-the-way-to-succeed-and-the-way-to-suck-eggs-1992-w487060,https://en.wikipedia.org/wiki/Psalm_69:_The_Way_to_Succeed_and_the_Way_to_Suck_Eggs,44:45:00,44,45
Bathory,Under the Sign of the Black Mark,1987,https://open.spotify.com/album/450O7sJi2GTzmLqHS03T88,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/bathory-under-the-sign-of-the-black-mark-1987-w486950,https://en.wikipedia.org/wiki/Under_the_Sign_of_the_Black_Mark,35:48:00,35,48
